n_clusters,result
10.0,0.09758149316508938
11.0,0.06919032597266035
12.0,0.0797055730809674
13.0,0.08664563617245005
14.0,0.058885383806519455
15.0,0.07465825446898001
16.0,0.05236593059936909
17.0,0.06372239747634069
18.0,0.05573080967402734
19.0,0.06077812828601472
20.0,0.047739221871713984
21.0,0.04437434279705573
22.0,0.04416403785488959
23.0,0.04079915878023133
24.0,0.04500525762355415
25.0,0.03932702418506835
26.0,0.032807570977917984
27.0,0.045425867507886436
28.0,0.026708727655099896
29.0,0.04290220820189274
30.0,0.04458464773922187
31.0,0.03406940063091483
32.0,0.04016824395373291
33.0,0.04290220820189274
34.0,0.037644584647739225
35.0,0.025867507886435333
36.0,0.025026288117770766
37.0,0.026708727655099896
38.0,0.037644584647739225
39.0,0.02754994742376446
40.0,0.014721345951629864
41.0,0.02334384858044164
42.0,0.020609884332281808
43.0,0.019978969505783387
44.0,0.022292323869610935
45.0,0.02607781282860147
46.0,0.026498422712933754
47.0,0.02124079915878023
48.0,0.02103049421661409
49.0,0.02292323869610936
50.0,0.019768664563617245
51.0,0.02965299684542587
52.0,0.011566771819137749
53.0,0.027129337539432176
54.0,0.01892744479495268
55.0,0.02082018927444795
56.0,0.014931650893796004
57.0,0.020399579390115666
58.0,0.015772870662460567
59.0,0.02334384858044164
60.0,0.013669821240799159
61.0,0.011987381703470032
62.0,0.011146161934805467
63.0,0.014511041009463722
64.0,0.017665615141955835
65.0,0.012618296529968454
66.0,0.012618296529968454
67.0,0.015141955835962145
68.0,0.011356466876971609
69.0,0.011356466876971609
70.0,0.012197686645636172
71.0,0.01177707676130389
72.0,0.01619348054679285
73.0,0.0138801261829653
74.0,0.00904311251314406
75.0,0.013249211356466877
76.0,0.010515247108307046
77.0,0.011146161934805467
78.0,0.008832807570977918
79.0,0.01409043112513144
80.0,0.010304942166140904
81.0,0.012828601472134596
82.0,0.012407991587802314
83.0,0.008201892744479496
84.0,0.009884332281808622
85.0,0.00904311251314406
86.0,0.012828601472134596
87.0,0.00967402733964248
88.0,0.012197686645636172
89.0,0.010515247108307046
90.0,0.00694006309148265
91.0,0.011146161934805467
92.0,0.012407991587802314
93.0,0.010094637223974764
94.0,0.011566771819137749
95.0,0.008201892744479496
96.0,0.012407991587802314
97.0,0.010725552050473186
98.0,0.011356466876971609
99.0,0.010304942166140904
100.0,0.00904311251314406
101.0,0.010725552050473186
102.0,0.00904311251314406
103.0,0.005257623554153523
104.0,0.0067297581493165086
105.0,0.007150368033648791
106.0,0.007360672975814932
107.0,0.008622502628811778
108.0,0.010304942166140904
109.0,0.011356466876971609
110.0,0.008832807570977918
111.0,0.006098843322818086
112.0,0.006309148264984227
113.0,0.007570977917981073
114.0,0.006309148264984227
115.0,0.007150368033648791
116.0,0.008412197686645636
117.0,0.008412197686645636
118.0,0.008201892744479496
119.0,0.006309148264984227
120.0,0.006309148264984227
121.0,0.00694006309148265
122.0,0.00483701366982124
123.0,0.011566771819137749
124.0,0.00694006309148265
125.0,0.012407991587802314
126.0,0.00904311251314406
127.0,0.00483701366982124
128.0,0.011146161934805467
129.0,0.011356466876971609
130.0,0.007570977917981073
131.0,0.007150368033648791
132.0,0.00946372239747634
133.0,0.0056782334384858045
134.0,0.004416403785488959
135.0,0.007150368033648791
136.0,0.005257623554153523
137.0,0.0056782334384858045
138.0,0.006098843322818086
139.0,0.008412197686645636
140.0,0.0067297581493165086
141.0,0.008412197686645636
142.0,0.007150368033648791
143.0,0.0067297581493165086
144.0,0.006098843322818086
145.0,0.008622502628811778
146.0,0.0067297581493165086
147.0,0.007360672975814932
148.0,0.0046267087276551
149.0,0.0035751840168243955
150.0,0.006519453207150368
151.0,0.00694006309148265
152.0,0.006098843322818086
153.0,0.0067297581493165086
154.0,0.0056782334384858045
155.0,0.005047318611987382
156.0,0.005467928496319664
157.0,0.006309148264984227
158.0,0.00483701366982124
159.0,0.0035751840168243955
160.0,0.005888538380651945
161.0,0.006098843322818086
162.0,0.00904311251314406
163.0,0.005467928496319664
164.0,0.00483701366982124
165.0,0.005467928496319664
166.0,0.0035751840168243955
167.0,0.0056782334384858045
168.0,0.0067297581493165086
169.0,0.007150368033648791
170.0,0.007150368033648791
171.0,0.007991587802313354
172.0,0.0056782334384858045
173.0,0.005047318611987382
174.0,0.006309148264984227
175.0,0.0056782334384858045
176.0,0.005888538380651945
177.0,0.0046267087276551
178.0,0.0046267087276551
179.0,0.005888538380651945
180.0,0.0046267087276551
181.0,0.005047318611987382
182.0,0.005888538380651945
183.0,0.006309148264984227
184.0,0.007570977917981073
185.0,0.0033648790746582543
186.0,0.005257623554153523
187.0,0.006098843322818086
188.0,0.0056782334384858045
189.0,0.006098843322818086
190.0,0.00904311251314406
191.0,0.0031545741324921135
192.0,0.004206098843322818
193.0,0.002523659305993691
194.0,0.005257623554153523
195.0,0.0033648790746582543
196.0,0.004206098843322818
197.0,0.0046267087276551
198.0,0.0029442691903259727
199.0,0.00483701366982124
200.0,0.005257623554153523
