business_id,name,latitude,longitude,categories
175009,RAMOS GONCALVES COM.PRODUTOS ALIM.LTDA,-23.695101,-46.656914,"PADARIA,PRODUTOS"
175150,MIRIAN CRISTINA PAES ME,-23.698941,-46.651714,PADARIA
175470,MARCELO PHILIPPI ALVES - ME,-23.699173,-46.641931,PADARIA
175526,HERINGER PAES E DOCES LTDA. -067-S,-23.692851,-46.640221,"CONFEITARIA,PADARIA"
175527,ADRIANA DE MELO JARDIM ME,-23.692851,-46.639431,PADARIA
175592,PANIFIC ADORA E CONFEITARIA FRANCISCO ROZEMILSON LTD,-23.696568,-46.634704,"CONFEITARIA,PADARIA"
175744,MAGNOLIA DE M CASTRO ME,-23.682699,-46.66003,PADARIA
175901,MINI PAD.MERC.S.LUZIA V.MISSIONARIA LTDA,-23.690854,-46.652964,PADARIA
176005,PANIFICADORA RAINHA DAS MISSOES LTDA,-23.688421,-46.648985,PADARIA
176397,GTI COMERCIO E COMPETICAO LTDA,-23.668275,-46.65775,"COMERCIO,PADARIA"
176727,SHANGRI-Lµ PÇES E DOCES LTDA.,-23.664315,-46.658919,"CONFEITARIA,PADARIA"
176780,PANIFICADORA LA ORENZANA LTDA.,-23.660641,-46.660442,PADARIA
176864,PANIFICADORA CASTELO BRANCO LTDA.,-23.665514,-46.656939,PADARIA
176913,CASA DE FRIOS KOBAIACHI LTDA ME,-23.664663,-46.655653,PADARIA
177029,SEVERINOLUIZ DA SILVA ME,-23.662317,-46.654522,PADARIA
177068,PANIFICADORA PORTO ARRAIAL LTDA,-23.674084,-46.651015,PADARIA
177317,PANIFICADORA LAGUNA LTDA.,-23.670152,-46.648581,PADARIA
177331,PANIF. E CONF. VERA LUCIA LTDA,-23.669496,-46.648323,PADARIA
177411,PAES E DOCES BELA MAR LTDA.,-23.668082,-46.646771,"CONFEITARIA,PADARIA"
177419,JAIME JOSE DAS VIRGENS ME,-23.668604,-46.64592,PADARIA
177645,HUBNER E MORAES MERCADINHO LTDA ME,-23.666409,-46.645903,"MERCADINHO,PADARIA"
177768,PANIFICADORA MINI-MINAS LTDA ME,-23.68757,-46.6449,PADARIA
177786,PAES E DOCES LUSOBEL LTDA - EPP,-23.689026,-46.643027,"CONFEITARIA,PADARIA"
177792,ANA MARIA JANUARIO DE LIMA ME.,-23.688225,-46.642203,PADARIA
177801,PANIFICADORA SANTA JULIA LTDA,-23.68723,-46.641643,PADARIA
177808,PAES E DOCES GUEDES E FARIAS LTDA ME,-23.684537,-46.645051,"CONFEITARIA,PADARIA"
178000,PANIFICADORA ALMIR E CESAR LTDA ME,-23.677348,-46.644474,PADARIA
178157,PADARIA E CONF. SOURENSE LTDA,-23.681347,-46.637167,PADARIA
178326,PAES E DOCES CAPRICHO LTDA-ME,-23.685749,-46.633335,"CONFEITARIA,PADARIA"
178711,AVICOLA SANTA MARGARIDA LTDA ME,-23.671163,-46.642561,PADARIA
178730,"PANIFICADORA E CONFEITARIA SANTOS & SANTOS LTDA,",-23.670501,-46.645078,"CONFEITARIA,PADARIA"
178770,PAES E DOCES ESTRELA SANTA EUFEMIA LT-ME,-23.667212,-46.641799,"CONFEITARIA,PADARIA"
178827,PANIF MAE NAN PAES E DOCES LTDA EPP,-23.671658,-46.638657,"CONFEITARIA,PADARIA"
178907,NUNES - DISTRIBUIDORA DE LEITE E DERIVADOS LT-ME,-23.666106,-46.642218,"LATICINIO,PADARIA,DISTRIBUIDOR"
178979,SMC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.-ME,-23.659877,-46.643984,"ALIMENTOS,PADARIA,COMERCIO,PRODUTOS"
179113,PANIFICADORA NORTE SUL LTDA.,-23.665795,-46.637689,PADARIA
179167,PANIF.E CONF.S.J.DE AMERICANOPOLIS LTDA,-23.660207,-46.639984,PADARIA
179285,PANIFICADORA NOVA SERRANO LTDA,-23.673319,-46.632318,PADARIA
179599,PANIFICADORA RAINHA DO LIBANO LTDA ME,-23.704259,-46.62667,PADARIA
179633,JOSE MATEUS FILHO BAR - ME,-23.656988,-46.661608,PADARIA
179656,COMERCIO E REPRESENTACOES J L LTDA,-23.654622,-46.66105,"COMERCIO,PADARIA"
179870,PANIFICADORA ANDROMEDA LTDA,-23.65147,-46.658749,PADARIA
180051,PANIFICADORA E CONFEITARIA CPA LTDA,-23.652917,-46.65731,"CONFEITARIA,PADARIA"
180053,PANIFICADORA SANTA CATARINA LTDA.,-23.653167,-46.657274,PADARIA
180215,EDUARDO TAGASHIRA ME,-23.650322,-46.653924,PADARIA
180247,PAES E DOCES JOIA DA ALBA LTDA EPP,-23.648466,-46.661311,"CONFEITARIA,PADARIA"
180358,LUIZ INACIO SOBRINHO ME,-23.650108,-46.657865,PADARIA
180474,C.G.R. BAEZA COMERCIO DE LEITE ME,-23.644166,-46.658864,"COMERCIO,PADARIA"
180575,DO FUTURO COMERCIAL,-23.642865,-46.657071,"COMERCIO,PADARIA"
180600,PANIF E MERCEARIA DIAS JARDIM LTDA - ME,-23.645406,-46.654515,"MERCEARIA,PADARIA"
180961,PANIF. E CONFEITARIA J.J.J. LTDA - EPP,-23.65082,-46.647493,"CONFEITARIA,PADARIA"
181015,JOAO BUENO,-23.6492,-46.650624,PADARIA
181017,YUUZI DOZONO - ME,-23.648558,-46.650572,PADARIA
181042,ROBERTO HARUO IKEDA ME,-23.647984,-46.650224,PADARIA
181162,FRIOS E LATICINIOS CANASTRA LTDA - ME,-23.649915,-46.648862,"LATICINIO,PADARIA"
181467,PADARIA E CONFEITARIA NOVA CAPITAL LTDA,-23.64145,-46.660254,"CONFEITARIA,PADARIA"
181670,MEMORIAL PAES E DOCES LTDA,-23.636437,-46.657569,"CONFEITARIA,PADARIA"
181690,PADARIA E CONF.CASA BRANCA LTDA. - EPP,-23.634421,-46.659298,PADARIA
181728,DIST. DE FRIOS E LAT. CASTELO DA BEIRA LTDA,-23.635679,-46.657562,PADARIA
181808,PANIFICADORA NOVA BABILONIA LTDA,-23.641633,-46.655405,PADARIA
181840,DORVILHO MARTINS ME,-23.64047,-46.653483,PADARIA
181998,PANIF.RAINHA DO AEROPORTO LTDA.,-23.637666,-46.653618,"AEROPORTO,PADARIA"
182146,INDUSTRIA DE PANIFICACAO AVEIRO LTDA,-23.627337,-46.661579,"INDUSTRIA,PADARIA"
182199,DISTRIBUIDORA DE LEITE AEROPORTO LTDA-ME,-23.632676,-46.656129,"AEROPORTO,PADARIA,DISTRIBUIDOR"
182237,PANIF. CONF. ORIENTAL LTDA-EPP,-23.642073,-46.652018,PADARIA
182408,AERO FRANGO ROTISSERIE LTDA - ME,-23.636122,-46.650603,"ROTISSERIE,PADARIA"
182620,DAVID SEQUEIRA ALEXANDRE - ME,-23.636103,-46.646093,PADARIA
182722,PANIFICADORA E CONFEITARIA CIDNAY LTDA.,-23.633612,-46.646853,"CONFEITARIA,PADARIA"
182868,PANIFICADORA RAINHA DA ABILIO SOARES LTDA,-23.628499,-46.646315,PADARIA
182896,PADARIA E CONF. PLANALTO PAULISTA LTDA,-23.629078,-46.645867,PADARIA
183068,TRANSLEITE DEUTSCHER LTDA,-23.657403,-46.642627,PADARIA
183117,MAGIA PAES E DOCES LTDA  491,-23.651434,-46.645184,"CONFEITARIA,PADARIA"
183140,MONICA HATSUMI UTIDA PEREIRA - ME,-23.658394,-46.639297,PADARIA
183843,FAFE PAES E DOCES LTDA -259-S,-23.645134,-46.639,"CONFEITARIA,PADARIA"
183875,ROTISSERIE DISK TUTES LTDA ME,-23.643133,-46.637826,"ROTISSERIE,PADARIA"
183962,VIVABEM COM E DISTRIB DE PRODUTOS ALIMENTICIOS LTDA,-23.655428,-46.63467,"ALIMENTOS,PADARIA,PRODUTOS"
183970,PANIFICADORA PORTA DO SOL LTDA.,-23.65405,-46.636641,PADARIA
184130,PANIFICADORA CIDADE VARGAS LTDA - E.P.P.,-23.644389,-46.635351,PADARIA
184230,MAKAU DISTR.DE PROD.ALIMENT.LTDA,-23.643968,-46.63258,"ALIMENTOS,PADARIA"
184285,MANUEL DE OLIVEIRA ALVES ME,-23.639249,-46.645133,PADARIA
184306,PANIFICADORA CONGONHAS LTDA,-23.640026,-46.643246,PADARIA
184658,ALE COMERCIO DE PAES LTDA,-23.638553,-46.640267,"COMERCIO,PADARIA"
184805,PADARIA E CONF.NOVA CULTURA LTDA - EPP,-23.636919,-46.640068,"CULTURA,PADARIA"
184936,ESTACAO DOS PAES LTDA,-23.632817,-46.643966,PADARIA
185372,CEFERINO PRIETO GALLEGO,-23.631311,-46.639789,PADARIA
185721,ANTONIO VIRGILIO AMARAL ME,-23.636585,-46.634727,PADARIA
185722,OMAR MOUSTAFA EL DEMHOUGI ME,-23.636601,-46.63434,PADARIA
185769,DANIELA CENTRAL GUARANI DE PANIFICAD.LTD,-23.640546,-46.632505,PADARIA
185772,PANIFICADORA CENTRAL GUARANI LTDA.,-23.6404,-46.632489,PADARIA
185845,PAES E DOCES DA VINCI LTDA - ME,-23.637491,-46.631765,"CONFEITARIA,PADARIA"
185972,DISTRIBUIDORA DE LEITE NASCIMENTO BERNADO ME,-23.631845,-46.635374,"PADARIA,DISTRIBUIDOR"
186063,SHIMODA E VEIGA ROTISSERIE LTDA ME,-23.630899,-46.634576,"ROTISSERIE,PADARIA"
186139,PAES E DOCES SAMEIRINHO LTDA,-23.626754,-46.635716,"CONFEITARIA,PADARIA"
186284,MASAO MAEKAWA,-23.631339,-46.631428,PADARIA
186285,JORGE MAEKAWA - ME,-23.631339,-46.631428,PADARIA
186286,TERUO MAEKAWA - ME,-23.631339,-46.631428,PADARIA
186295,PANIFICADORA E CONFEITARIA BARBARA LTDA,-23.6312,-46.631313,"CONFEITARIA,PADARIA"
186298,AKIRA MAEKAWA,-23.630995,-46.631385,PADARIA
186309,NEIRA PADARIA LTDA. ME,-23.633146,-46.630844,PADARIA
186363,RECANTO COMERCIO DE FRIOS LTDA.-ME,-23.633014,-46.630804,"COMERCIO,PADARIA"
186365,PANIFICADORA SANTA MARINA LTDA - EPP,-23.633014,-46.630804,PADARIA
186474,PANIFICADORA REDENCAO LTDA,-23.625959,-46.631611,PADARIA
186789,PANIF. E CONF. MIRUNA LTDA,-23.619782,-46.654964,PADARIA
186927,PAES E DOCES SANTA ROSA LTDA EPP,-23.613906,-46.661604,"CONFEITARIA,PADARIA"
187073,ORQUIDIA CHIC PAES E DOCES LTDA EPP,-23.612034,-46.661038,"CONFEITARIA,PADARIA"
187356,AIKAS - PAES E DOCES LTDA,-23.609686,-46.658846,"CONFEITARIA,PADARIA"
187549,PANETTERIA BERTACHINI LTDA/ME,-23.611429,-46.654335,PADARIA
187607,PAD.E CONF.RAINHA DA TRAICAO LTDA.,-23.622364,-46.652037,PADARIA
188046,VENTURA COMERCIO DE FRIOS LTDA.-ME,-23.614034,-46.652184,"COMERCIO,PADARIA"
188064,EMPORIO MISTER VOLARE LTDA-ME,-23.616855,-46.650646,PADARIA
188269,LUIZ CARLOS FERREIRA DE SA ME,-23.61616,-46.645556,PADARIA
188991,SHOPPING PAES PADARIA LTDA EPP,-23.602472,-46.661203,PADARIA
189759,DELLA MARIS PAES E DOCES LTDA EPP,-23.606453,-46.65548,"CONFEITARIA,PADARIA"
